Density,variable,value
0.396,Healthy,1.392298799957554
0.398,Healthy,1.3990643397648657
0.4,Healthy,1.4052468639104085
0.402,Healthy,1.410847632803447
0.404,Healthy,1.4158831691943552
0.406,Healthy,1.4203723216682802
0.408,Healthy,1.4243246966121648
0.41,Healthy,1.427735321647373
0.412,Healthy,1.430588048858974
0.414,Healthy,1.4328665582729623
0.416,Healthy,1.4345684789837685
0.418,Healthy,1.4357167074890544
0.42,Healthy,1.4363632364688388
0.422,Healthy,1.4365841916898594
0.424,Healthy,1.4364687220620895
0.426,Healthy,1.4361070396772768
0.428,Healthy,1.4355830567578547
0.43,Healthy,1.4349747322395936
0.432,Healthy,1.4343615736257056
0.434,Healthy,1.4338354093915926
0.436,Healthy,1.4335089345581031
0.438,Healthy,1.4335171755568445
0.44,Healthy,1.4340095104757915
0.442,Healthy,1.4351331647535284
0.444,Healthy,1.437011985468659
0.446,Healthy,1.439725882227647
0.448,Healthy,1.4432962529685633
0.45,Healthy,1.447681185570463
0.452,Healthy,1.4527818211338197
0.454,Healthy,1.4584586939354856
0.456,Healthy,1.4645547255598586
0.458,Healthy,1.4709201941484225
0.46,Healthy,1.4774345320461686
0.462,Healthy,1.4840202173486334
0.464,Healthy,1.4906453253390541
0.466,Healthy,1.4973135233901413
0.468,Healthy,1.504043310903321
0.47,Healthy,1.5108416148468977
0.472,Healthy,1.5176794488431513
0.474,Healthy,1.5244779662273813
0.476,Healthy,1.5311109533218032
0.478,Healthy,1.5374247046893952
0.48,Healthy,1.5432697683048493
0.482,Healthy,1.548533780414379
0.484,Healthy,1.5531631068137717
0.486,Healthy,1.5571645742195512
0.488,Healthy,1.5605863189184572
0.49,Healthy,1.5634856683740344
0.492,Healthy,1.5658980277073509
0.494,Healthy,1.5678208980576207
0.496,Healthy,1.569220858563992
0.498,Healthy,1.5700610816808167
0.5,Healthy,1.5703372589265023
0.502,Healthy,1.5701052110558373
0.504,Healthy,1.5694862607465943
0.506,Healthy,1.5686455791750624
0.508,Healthy,1.567750149460038
0.51,Healthy,1.5669216245156676
0.512,Healthy,1.5662014384440854
0.514,Healthy,1.5655403697308634
0.516,Healthy,1.5648149156695061
0.518,Healthy,1.5638627901701743
0.52,Healthy,1.562523788194172
0.522,Healthy,1.5606722200647214
0.524,Healthy,1.5582323290818907
0.526,Healthy,1.555175678049545
0.528,Healthy,1.551506013213171
0.53,Healthy,1.5472402448698226
0.532,Healthy,1.5423934617866688
0.534,Healthy,1.536972532298529
0.536,Healthy,1.5309787873871206
0.538,Healthy,1.5244171697117122
0.54,Healthy,1.5173077979838563
0.542,Healthy,1.5096959714033513
0.544,Healthy,1.5016576171394151
0.546,Healthy,1.4932985110261112
0.548,Healthy,1.4847470105963068
0.55,Healthy,1.4761414585993315
0.552,Healthy,1.4676147284020418
0.554,Healthy,1.459279289980511
0.556,Healthy,1.451216287563524
0.558,Healthy,1.4434712199248516
0.56,Healthy,1.4360570789031715
0.562,Healthy,1.4289637967065942
0.564,Healthy,1.4221712794095986
0.566,Healthy,1.4156626511660957
0.568,Healthy,1.4094346704070617
0.57,Healthy,1.4035033068053242
0.572,Healthy,1.3979037660278077
0.574,Healthy,1.3926855122283655
0.576,Healthy,1.3879039217455804
0.578,Healthy,1.3836109914190367
0.58,Healthy,1.3798478009755157
0.582,Healthy,1.376640912178878
0.584,Healthy,1.374003490277877
0.586,Healthy,1.3719400203042147
0.588,Healthy,1.3704518673923527
0.59,Healthy,1.369540478921137
0.592,Healthy,1.369206149700231
0.594,Healthy,1.3694425442762883
0.596,Healthy,1.3702294694739032
0.598,Healthy,1.3715274942353697
0.6,Healthy,1.373277306953036
0.602,Healthy,1.3754045446695544
0.604,Healthy,1.377828357654057
0.606,Healthy,1.3804704492604303
0.608,Healthy,1.3832614567617063
0.61,Healthy,1.3861431232556845
0.612,Healthy,1.3890668407671949
0.614,Healthy,1.3919907123664887
0.616,Healthy,1.3948775526810393
0.618,Healthy,1.3976951883614066
0.62,Healthy,1.4004186652989852
0.622,Healthy,1.4030324806068035
0.624,Healthy,1.4055305536287195
0.626,Healthy,1.4079126011812086
0.628,Healthy,1.4101774489852863
0.63,Healthy,1.4123156285688747
0.632,Healthy,1.4143043644937685
0.634,Healthy,1.4161072535924488
0.636,Healthy,1.4176789237489018
0.638,Healthy,1.4189727935264145
0.64,Healthy,1.419948921712148
0.642,Healthy,1.4205794330490595
0.644,Healthy,1.4208507391618503
0.646,Healthy,1.4207635790419728
0.648,Healthy,1.4203325882871438
0.65,Healthy,1.4195862540511937
0.652,Healthy,1.4185663999976497
0.654,Healthy,1.4173251208069177
0.656,Healthy,1.4159174558499552
0.658,Healthy,1.414390113925656
0.66,Healthy,1.4127691152918709
0.662,Healthy,1.4110506756989418
0.664,Healthy,1.4091989435023482
0.666,Healthy,1.4071515318735954
0.668,Healthy,1.4048305935273981
0.67,Healthy,1.4021552396961576
0.672,Healthy,1.3990514180226403
0.674,Healthy,1.3954575691639826
0.676,Healthy,1.3913269998560298
0.678,Healthy,1.3866293204496352
0.68,Healthy,1.3813527651263773
0.682,Healthy,1.3755073198470447
0.684,Healthy,1.3691267747858304
0.686,Healthy,1.3622674179926393
0.688,Healthy,1.3550024255932387
0.69,Healthy,1.3474132164603017
0.692,Healthy,1.3395806664867982
0.694,Healthy,1.3315790293302507
0.696,Healthy,1.3234736742526367
0.698,Healthy,1.3153213877399166
0.7,Healthy,1.3071704473056314
0.702,Healthy,1.2990579061818976
0.704,Healthy,1.2910034102346506
0.706,Healthy,1.2830013420503081
0.708,Healthy,1.2750147994901095
0.71,Healthy,1.266974988137486
0.712,Healthy,1.258788035965688
0.714,Healthy,1.2503487849217776
0.716,Healthy,1.2415588025066477
0.718,Healthy,1.2323444759220152
0.72,Healthy,1.2226709027068006
0.722,Healthy,1.2125482609689455
0.724,Healthy,1.2020291119929687
0.726,Healthy,1.191197284957845
0.728,Healthy,1.1801511884306382
0.73,Healthy,1.1689860388888824
0.732,Healthy,1.1577799915410893
0.734,Healthy,1.1465880903089634
0.736,Healthy,1.1354454244849885
0.738,Healthy,1.124377656069068
0.74,Healthy,1.113414394233326
0.742,Healthy,1.102599894910243
0.744,Healthy,1.0919967402759925
0.746,Healthy,1.0816810209608594
0.748,Healthy,1.0717308525674196
0.75,Healthy,1.0622124027001738
0.752,Healthy,1.0531681103700539
0.754,Healthy,1.0446104732000285
0.756,Healthy,1.0365224644315472
0.758,Healthy,1.028863402000655
0.76,Healthy,1.0215777290613015
0.762,Healthy,1.0146039096532244
0.764,Healthy,1.0078812288831518
0.766,Healthy,1.0013532616029022
0.768,Healthy,0.9949677916897834
0.77,Healthy,0.9886738780754456
0.772,Healthy,0.9824175154671221
0.774,Healthy,0.9761378057035857
