threshold,variable,value
0.3,recall,1.0
0.3263157894736842,recall,0.9873417721518988
0.3526315789473684,recall,0.9873417721518988
0.3789473684210526,recall,0.9873417721518988
0.4052631578947368,recall,0.9873417721518988
0.43157894736842106,recall,0.9873417721518988
0.45789473684210524,recall,0.9873417721518988
0.4842105263157894,recall,0.9873417721518988
0.5105263157894737,recall,0.9873417721518988
0.5368421052631579,recall,0.9746835443037974
0.5631578947368421,recall,0.9746835443037974
0.5894736842105264,recall,0.9746835443037974
0.6157894736842104,recall,0.9620253164556962
0.6421052631578947,recall,0.9493670886075949
0.6684210526315789,recall,0.9493670886075949
0.6947368421052631,recall,0.9367088607594937
0.7210526315789474,recall,0.9240506329113924
0.7473684210526315,recall,0.9113924050632911
0.7736842105263158,recall,0.8987341772151899
0.8,recall,0.8734177215189873
0.3,precision,0.8586956521739131
0.3263157894736842,precision,0.8571428571428571
0.3526315789473684,precision,0.8666666666666667
0.3789473684210526,precision,0.8666666666666667
0.4052631578947368,precision,0.8666666666666667
0.43157894736842106,precision,0.8764044943820225
0.45789473684210524,precision,0.8863636363636364
0.4842105263157894,precision,0.8863636363636364
0.5105263157894737,precision,0.8863636363636364
0.5368421052631579,precision,0.8953488372093024
0.5631578947368421,precision,0.9058823529411765
0.5894736842105264,precision,0.9166666666666666
0.6157894736842104,precision,0.926829268292683
0.6421052631578947,precision,0.9259259259259259
0.6684210526315789,precision,0.9259259259259259
0.6947368421052631,precision,0.9367088607594937
0.7210526315789474,precision,0.948051948051948
0.7473684210526315,precision,0.96
0.7736842105263158,precision,0.9594594594594594
0.8,precision,0.9583333333333334
0.3,auc,0.8951612903225806
0.3263157894736842,auc,0.88883217639853
0.3526315789473684,auc,0.8968966925275622
0.3789473684210526,auc,0.8968966925275622
0.4052631578947368,auc,0.8968966925275622
0.43157894736842106,auc,0.9049612086565945
0.45789473684210524,auc,0.9130257247856268
0.4842105263157894,auc,0.9130257247856268
0.5105263157894737,auc,0.9130257247856268
0.5368421052631579,auc,0.9147611269906083
0.5631578947368421,auc,0.9228256431196405
0.5894736842105264,auc,0.9308901592486729
0.6157894736842104,auc,0.9326255614536545
0.6421052631578947,auc,0.9262964475296038
0.6684210526315789,auc,0.9262964475296038
0.6947368421052631,auc,0.9280318497345855
0.7210526315789474,auc,0.9297672519395672
0.7473684210526315,auc,0.9315026541445488
0.7736842105263158,auc,0.9251735402204981
0.8,auc,0.9125153123723969
0.3,accuracy,0.9078014184397163
0.3263157894736842,accuracy,0.900709219858156
0.3526315789473684,accuracy,0.9078014184397163
0.3789473684210526,accuracy,0.9078014184397163
0.4052631578947368,accuracy,0.9078014184397163
0.43157894736842106,accuracy,0.9148936170212766
0.45789473684210524,accuracy,0.9219858156028369
0.4842105263157894,accuracy,0.9219858156028369
0.5105263157894737,accuracy,0.9219858156028369
0.5368421052631579,accuracy,0.9219858156028369
0.5631578947368421,accuracy,0.9290780141843972
0.5894736842105264,accuracy,0.9361702127659575
0.6157894736842104,accuracy,0.9361702127659575
0.6421052631578947,accuracy,0.9290780141843972
0.6684210526315789,accuracy,0.9290780141843972
0.6947368421052631,accuracy,0.9290780141843972
0.7210526315789474,accuracy,0.9290780141843972
0.7473684210526315,accuracy,0.9290780141843972
0.7736842105263158,accuracy,0.9219858156028369
0.8,accuracy,0.9078014184397163
