Density,variable,value
102.0,Healthy,0.006041554035112638
102.51,Healthy,0.005999839299685118
103.02,Healthy,0.005954927093861049
103.53,Healthy,0.005907362174668331
104.04,Healthy,0.0058576783020668575
104.55,Healthy,0.0058063820528210155
105.06,Healthy,0.005753942277495436
105.57,Healthy,0.005700784552691867
106.08,Healthy,0.005647289735268534
106.59,Healthy,0.005593795688709928
107.1,Healthy,0.005540601349804165
107.61,Healthy,0.005487972461596353
108.12,Healthy,0.005436148477809654
108.63,Healthy,0.005385350282612099
109.14,Healthy,0.005335788416589492
109.65,Healthy,0.005287671404585623
110.16,Healthy,0.005241213528756091
110.67,Healthy,0.005196641054415296
111.18,Healthy,0.005154195612158515
111.69,Healthy,0.005114133347749843
112.2,Healthy,0.005076718712038264
112.71,Healthy,0.005042212439505588
113.22,Healthy,0.0050108542816822985
113.73,Healthy,0.004982842221282928
114.24,Healthy,0.00495831089090589
114.75,Healthy,0.004937312469763946
115.26,Healthy,0.004919803218372859
115.77,Healthy,0.0049056380163141405
116.28,Healthy,0.0048945739432290575
116.79,Healthy,0.004886282419144422
117.3,Healthy,0.004880368073890951
117.81,Healthy,0.004876391666067892
118.32,Healthy,0.004873894174627461
118.83,Healthy,0.004872419585119577
119.34,Healthy,0.004871534647947884
119.85,Healthy,0.004870844684319629
120.36,Healthy,0.004870005092805692
120.87,Healthy,0.00486872844024743
121.38,Healthy,0.004866786993733057
121.89,Healthy,0.004864010471814269
122.4,Healthy,0.004860278915769973
122.91,Healthy,0.004855511051678162
123.42,Healthy,0.004849649287944644
123.93,Healthy,0.004842643345219725
124.44,Healthy,0.0048344351108405405
124.95,Healthy,0.0048249473600351055
125.46,Healthy,0.00481407837705065
125.97,Healthy,0.004801703357166773
126.48,Healthy,0.0047876821119511685
126.99,Healthy,0.004771871425707446
127.5,Healthy,0.004754139752553518
128.01,Healthy,0.004734381912103766
128.52,Healthy,0.004712531931265672
129.03,Healthy,0.004688572892141092
129.54,Healthy,0.004662543285714841
130.05,Healthy,0.004634539713140878
130.56,Healthy,0.004604715827833116
131.07,Healthy,0.004573277325596471
131.58,Healthy,0.004540472824356276
132.09,Healthy,0.004506580811285884
132.6,Healthy,0.0044718935012188505
133.11,Healthy,0.004436699255853538
133.62,Healthy,0.004401265851617225
134.13,Healthy,0.004365827039915112
134.64,Healthy,0.004330574352660673
135.15,Healthy,0.004295655044681028
135.66,Healthy,0.004261175727337769
136.17,Healthy,0.004227210049875817
136.68,Healthy,0.0041938080959159785
137.19,Healthy,0.004161005168956592
137.7,Healthy,0.0041288282875508436
138.21,Healthy,0.004097299723938368
138.72,Healthy,0.004066437945769693
139.23,Healthy,0.004036257038223193
139.74,Healthy,0.0040067659291618
140.25,Healthy,0.003977968534115742
140.76,Healthy,0.00394986543871174
141.27,Healthy,0.003922457157621133
141.78,Healthy,0.003895748539582334
142.29,Healthy,0.0038697536123291415
142.8,Healthy,0.0038445000890045696
143.31,Healthy,0.0038200328256673606
143.82,Healthy,0.0037964156544657087
144.33,Healthy,0.0037737311747468106
144.84,Healthy,0.0037520782539293583
145.35,Healthy,0.00373156718621764
145.86,Healthy,0.003712312701218918
146.37,Healthy,0.003694425298740265
146.88,Healthy,0.0036780016778169343
147.39,Healthy,0.003663115263866958
147.9,Healthy,0.003649807945922547
148.41,Healthy,0.0036380840697050284
148.92,Healthy,0.003627907458260661
149.43,Healthy,0.0036192017967648553
149.94,Healthy,0.003611854184311968
150.45,Healthy,0.0036057211447186603
150.96,Healthy,0.003600636018067605
151.47,Healthy,0.003596416526657229
151.98,Healthy,0.003592871470734811
152.49,Healthy,0.003589805934640702
153.0,Healthy,0.003587024969316888
